"736";"Kassi is improving slowly";"2008-02-23 13:32:00"
"737";"Independence Day";"2007-12-07 09:44:55"
"738";"All Your Monies Are Belong to Us";"2007-11-07 09:16:05"
"739";"Back from the dead";"2007-10-11 04:52:24"
"740";"It's the Mac way or the Highway";"2007-05-16 14:16:41"
"741";"0.40 is moving along again";"2007-04-28 09:38:01"
"742";"Interesting approach...";"2007-03-21 12:50:53"
"743";"Home pages get a refresh";"2007-03-19 20:25:05"
"744";"Internet Explorer - still a pain in the arse.";"2007-01-16 16:06:11"
"745";"KISSpics - a new addition to the libraries!";"2007-01-15 12:02:04"
"746";"The new KISS-site is up...";"2006-12-21 19:05:43"
"747";"I got a WII!! And the new website is up!!";"2006-12-10 14:33:43"
"748";"The Idea for a Simple Video Player";"2006-09-28 10:08:52"
"749";"The Last Weekly Report #15";"2006-08-31 18:36:14"
"750";"Weekly Report #14";"2006-08-28 07:09:03"
"751";"Weekly Report #13";"2006-08-20 19:49:37"
"752";"Weekly Report #12";"2006-08-14 07:04:56"
"753";"Weekly Report #11";"2006-08-07 10:29:05"
"754";"Weekly Report #10 - Contemplating on the future & past";"2006-08-04 13:38:49"
"755";"Weekly Report #9.5";"2006-07-28 06:08:41"
"756";"Weekly Report #9";"2006-07-24 09:36:56"
"757";"Drawing on myself";"2006-07-19 13:16:19"
"758";"Weekly Report #8";"2006-07-16 14:06:13"
"759";"Weekly Report #7";"2006-07-09 13:00:40"
"760";"Weekly Report #6";"2006-07-02 09:13:54"
"761";"Weekly Report #5";"2006-06-22 07:14:31"
"762";"Weekly Report #4";"2006-06-19 11:51:39"
"763";"Latvia is strange..";"2006-06-09 19:11:54"
"764";"Weekly Report #3";"2006-06-06 07:39:14"
"765";"Weekly Report #2";"2006-05-27 12:15:01"
"766";"Weekly report #1";"2006-05-22 10:02:54"
"767";"Gentlemen, start your engines :) !";"2006-05-17 10:03:24"
"768";"Welcome";"2006-05-08 11:05:11"
"769";"Got hired again";"2006-04-12 08:11:54"
"770";"Newsflash: IE sucks!";"2006-04-03 10:02:01"
"771";"KISS gets smiley-support!";"2006-03-15 19:11:24"
"772";"... And I made it";"2006-03-15 13:42:38"
"773";"Microsoft is the root of all evil";"2006-03-06 10:11:55"
"774";"Got a new phone!";"2006-03-02 16:55:45"
"775";"XGL is amazing...";"2006-02-27 08:22:45"
"776";"Ranting about IE";"2006-02-23 10:01:42"
"777";"Eeva's challenge. I accept.";"2006-02-12 21:19:56"
"778";"New look (again..)";"2006-02-12 20:49:56"
"779";"Pet Hotel is ready";"2006-01-29 13:02:34"
"780";"The race for summer jobs begins here!";"2006-01-20 07:56:22"
"781";"Happy new year 2006!";"2006-01-02 09:44:03"
"782";"Suspend2 whacked up my roots!";"2005-11-22 18:57:02"
"783";"SymbianRoadshow madness";"2005-11-01 13:29:00"
"784";"Finishing touches on the home page";"2005-10-25 12:17:26"
"785";"Started work on Hyvinvointiprofiili";"2005-10-16 16:35:40"
"786";"PetHotelCMS - server is up. Now the client..";"2005-10-09 10:00:39"
"787";"New pages";"2005-10-09 09:47:31"
"788";"Kassi is here";"2008-03-06 08:14:56"
"789";"Hong Kong";"2008-03-13 06:58:57"
"790";"On My Way to Cambodia";"2008-03-15 06:49:57"
"791";"Cambodia - Siem Reap";"2008-03-16 07:02:52"
"792";"Angkor W00t";"2008-03-22 12:35:35"
"793";"Burned";"2008-03-22 12:44:53"
"794";"Cambodia Price Levels";"2008-03-22 12:57:33"
"795";"I got my new XPS M1330";"2008-05-03 09:20:37"
"796";"Quick HOWTO Install Linux on XPS M1330 w/ Vista and Media Direct";"2008-05-04 16:11:41"
"797";"Hacking the XPS M1330";"2008-05-04 17:36:18"
"798";"XPS M1330 - Battle Results";"2008-05-04 21:28:16"
"799";"Teleconferencing..";"2008-05-28 10:15:41"
"800";"Hacked, Processing and Parties";"2008-09-20 14:52:29"
"801";"Got myself a fit-pc!";"2008-10-14 08:59:34"
"802";"Electronics WS outcome";"2008-11-17 12:57:39"
"803";"Towards the Perfect (Linux) Setup";"2008-12-19 17:57:16"
"804";"Demoday Presentation";"2008-12-19 18:32:12"
"805";"Gstreamer Live Cinema and VJing?";"2009-01-13 10:36:34"
"806";"Arduino meets N800";"2009-01-18 11:53:06"
"807";"Need to write this one down..";"2009-01-18 12:18:40"
"808";"PENALTI pays";"2009-03-19 12:43:23"
"809";"rsync real-life blog";"2009-04-25 20:47:20"
"810";"iceland/raflost/artsy";"2009-05-07 19:03:08"
"811";"Arrived in México";"2009-07-20 21:45:22"
"812";"Random Occurences";"2009-07-24 02:43:39"
"813";"Updates from México [updated x 2]";"2009-08-01 19:02:42"
"814";"Méxican Quisine - Setting Some Things Straight";"2009-08-11 06:07:01"
"815";"Late Birthday Update";"2009-08-16 20:44:25"
"816";"Gray is a Color";"2009-08-23 18:52:53"
